COUNTRY_CODE,COUNTRY,CONTINENT
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
ASM,"American Samoa",Others
AND,Andorra,Europe
AGO,Angola,Africa
ATG,"Antigua and Barbuda","North America"
ARG,Argentina,"South America"
ARM,Armenia,Asia
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BHS,Bahamas,"North America"
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,"North America"
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,"North America"
BEN,Benin,Africa
BMU,Bermuda,Others
BTN,Bhutan,Asia
BOL,Bolivia,"South America"
BIH,"Bosnia and Herzegovina",Europe
BWA,Botswana,Africa
BRA,Brazil,"South America"
BRN,Brunei,Asia
BGR,Bulgaria,Europe
BFA,"Burkina Faso",Africa
BDI,Burundi,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,"North America"
CPV,"Cape Verde",Others
CAF,"Central African Republic",Africa
TCD,Chad,Africa
CHL,Chile,"South America"
CHN,China,Asia
COL,Colombia,"South America"
COM,Comoros,Africa
COG,Congo,Africa
COK,"Cook Islands",Others
CRI,"Costa Rica","North America"
CIV,"Cote dIvoire",Others
HRV,Croatia,Europe
CUB,Cuba,"North America"
CYP,Cyprus,Asia
CZE,Czechia,Europe
COD,"Democratic Republic of Congo",Africa
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,"North America"
DOM,"Dominican Republic","North America"
TLS,"East Timor",Others
ECU,Ecuador,"South America"
EGY,Egypt,Africa
SLV,"El Salvador","North America"
ENG,England,Others
GNQ,"Equatorial Guinea",Africa
ERI,Eritrea,Africa
EST,Estonia,Europe
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GRC,Greece,Europe
GRL,Greenland,"North America"
GRD,Grenada,"North America"
GUM,Guam,Others
GTM,Guatemala,"North America"
GIN,Guinea,Africa
GNB,GuineaBissau,Africa
GUY,Guyana,"South America"
HTI,Haiti,"North America"
HND,Honduras,"North America"
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,"North America"
JPN,Japan,Asia
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KIR,Kiribati,Oceania
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MHL,"Marshall Islands",Oceania
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MEX,Mexico,"North America"
FSM,Micronesiacountry,Others
MDA,Moldova,Europe
MCO,Monaco,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NAM,Namibia,Africa
NRU,Nauru,Oceania
NPL,Nepal,Asia
NLD,Netherlands,Europe
NZL,"New Zealand",Oceania
NIC,Nicaragua,"North America"
NER,Niger,Africa
NGA,Nigeria,Africa
NIU,Niue,Others
PRK,"North Korea",Asia
MKD,"North Macedonia",Europe
NIR,"Northern Ireland",Others
MNP,"Northern Mariana Islands",Others
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PLW,Palau,Oceania
PSE,Palestine,Asia
PAN,Panama,"North America"
PNG,"Papua New Guinea",Oceania
PRY,Paraguay,"South America"
PER,Peru,"South America"
PHL,Philippines,Asia
POL,Poland,Europe
PRT,Portugal,Europe
PRI,"Puerto Rico","North America"
QAT,Qatar,Asia
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
KNA,"Saint Kitts and Nevis","North America"
LCA,"Saint Lucia","North America"
VCT,"Saint Vincent and the Grenadines","North America"
WSM,Samoa,Oceania
SMR,"San Marino",Europe
