COUNTRY,COUNTRY_CODE,death_cause,total_deaths
Afghanistan,AFG,MENINGITIS_DEATHS,49895
Albania,ALB,MENINGITIS_DEATHS,453
Algeria,DZA,MENINGITIS_DEATHS,8657
"American Samoa",ASM,MENINGITIS_DEATHS,20
Andorra,AND,MENINGITIS_DEATHS,0
Angola,AGO,MENINGITIS_DEATHS,72672
"Antigua and Barbuda",ATG,MENINGITIS_DEATHS,20
Argentina,ARG,MENINGITIS_DEATHS,10574
Armenia,ARM,MENINGITIS_DEATHS,201
Australia,AUS,MENINGITIS_DEATHS,1095
Austria,AUT,MENINGITIS_DEATHS,698
Azerbaijan,AZE,MENINGITIS_DEATHS,2310
Bahamas,BHS,MENINGITIS_DEATHS,65
Bahrain,BHR,MENINGITIS_DEATHS,68
Bangladesh,BGD,MENINGITIS_DEATHS,67888
Barbados,BRB,MENINGITIS_DEATHS,67
Belarus,BLR,MENINGITIS_DEATHS,1630
Belgium,BEL,MENINGITIS_DEATHS,1086
Belize,BLZ,MENINGITIS_DEATHS,50
Benin,BEN,MENINGITIS_DEATHS,48144
Bermuda,BMU,MENINGITIS_DEATHS,0
Bhutan,BTN,MENINGITIS_DEATHS,792
Bolivia,BOL,MENINGITIS_DEATHS,4372
"Bosnia and Herzegovina",BIH,MENINGITIS_DEATHS,229
Botswana,BWA,MENINGITIS_DEATHS,2773
Brazil,BRA,MENINGITIS_DEATHS,65453
Brunei,BRN,MENINGITIS_DEATHS,27
Bulgaria,BGR,MENINGITIS_DEATHS,1159
"Burkina Faso",BFA,MENINGITIS_DEATHS,120232
Burundi,BDI,MENINGITIS_DEATHS,29368
Cambodia,KHM,MENINGITIS_DEATHS,7223
Cameroon,CMR,MENINGITIS_DEATHS,68770
Canada,CAN,MENINGITIS_DEATHS,1928
"Cape Verde",CPV,MENINGITIS_DEATHS,419
"Central African Republic",CAF,MENINGITIS_DEATHS,21975
Chad,TCD,MENINGITIS_DEATHS,85975
Chile,CHL,MENINGITIS_DEATHS,2812
China,CHN,MENINGITIS_DEATHS,185484
Colombia,COL,MENINGITIS_DEATHS,11138
Comoros,COM,MENINGITIS_DEATHS,1683
