YEARS,death_cause,total_deaths
2000,MENINGITIS_DEATHS,386471
2001,MENINGITIS_DEATHS,380426
2002,MENINGITIS_DEATHS,372722
2003,MENINGITIS_DEATHS,369588
2004,MENINGITIS_DEATHS,363853
2005,MENINGITIS_DEATHS,362192
2006,MENINGITIS_DEATHS,359305
2007,MENINGITIS_DEATHS,353069
2008,MENINGITIS_DEATHS,343762
2009,MENINGITIS_DEATHS,337162
2010,MENINGITIS_DEATHS,327059
2011,MENINGITIS_DEATHS,313008
2012,MENINGITIS_DEATHS,300353
2013,MENINGITIS_DEATHS,289767
2014,MENINGITIS_DEATHS,280697
2015,MENINGITIS_DEATHS,268055
2016,MENINGITIS_DEATHS,261510
2017,MENINGITIS_DEATHS,250395
2018,MENINGITIS_DEATHS,241931
2019,MENINGITIS_DEATHS,236349
2000,DEMENTIA_DEATHS,809520
2001,DEMENTIA_DEATHS,837858
2002,DEMENTIA_DEATHS,869522
2003,DEMENTIA_DEATHS,901282
2004,DEMENTIA_DEATHS,933758
2005,DEMENTIA_DEATHS,970772
2006,DEMENTIA_DEATHS,1008093
2007,DEMENTIA_DEATHS,1048508
2008,DEMENTIA_DEATHS,1092447
2009,DEMENTIA_DEATHS,1137163
2010,DEMENTIA_DEATHS,1184494
2011,DEMENTIA_DEATHS,1230315
2012,DEMENTIA_DEATHS,1277196
2013,DEMENTIA_DEATHS,1324611
2014,DEMENTIA_DEATHS,1373772
2015,DEMENTIA_DEATHS,1425294
2016,DEMENTIA_DEATHS,1482518
2017,DEMENTIA_DEATHS,1540810
2018,DEMENTIA_DEATHS,1600474
2019,DEMENTIA_DEATHS,1654851
2000,PARKINSONS_DEATHS,203762
2001,PARKINSONS_DEATHS,211546
2002,PARKINSONS_DEATHS,220500
2003,PARKINSONS_DEATHS,228000
2004,PARKINSONS_DEATHS,233477
2005,PARKINSONS_DEATHS,242383
2006,PARKINSONS_DEATHS,248743
2007,PARKINSONS_DEATHS,256626
2008,PARKINSONS_DEATHS,266698
2009,PARKINSONS_DEATHS,274093
2010,PARKINSONS_DEATHS,282638
2011,PARKINSONS_DEATHS,291013
2012,PARKINSONS_DEATHS,299861
2013,PARKINSONS_DEATHS,310417
2014,PARKINSONS_DEATHS,319968
2015,PARKINSONS_DEATHS,329042
2016,PARKINSONS_DEATHS,338087
2017,PARKINSONS_DEATHS,346811
2018,PARKINSONS_DEATHS,359067
2019,PARKINSONS_DEATHS,370608
2000,MALARIA_DEATHS,882055
2001,MALARIA_DEATHS,912709
2002,MALARIA_DEATHS,929195
2003,MALARIA_DEATHS,959654
2004,MALARIA_DEATHS,960784
2005,MALARIA_DEATHS,940540
2006,MALARIA_DEATHS,941746
2007,MALARIA_DEATHS,940193
2008,MALARIA_DEATHS,932910
2009,MALARIA_DEATHS,917796
2010,MALARIA_DEATHS,909814
2011,MALARIA_DEATHS,868564
2012,MALARIA_DEATHS,806183
2013,MALARIA_DEATHS,751776
2014,MALARIA_DEATHS,724324
2015,MALARIA_DEATHS,702890
2016,MALARIA_DEATHS,660364
2017,MALARIA_DEATHS,629653
2018,MALARIA_DEATHS,631568
2019,MALARIA_DEATHS,643201
2000,DROWNING_DEATHS,387964
